GKZ,Name,Wahlberechtigte,abgegeben,gueltig,ungueltig,spoe,oevp,fpoe,gruene,neos,kpoe,cpoe,pilz,schnell,gilt
G31713,Kaltenleutgeben,2522,1888,1857,31,595,425,357,243,125,11,11,69,10,11
G31714,Laab im Walde,920,716,705,11,170,244,62,131,32,11,8,29,14,4
G31715,Laxenburg,2090,1525,1508,17,376,488,211,214,94,9,13,75,13,15
G31716,Maria Enzersdorf,6623,4706,4634,72,726,1808,571,854,315,25,46,216,51,22
G31717,Mödling,15441,10981,10769,212,2660,3140,1510,1912,676,108,79,485,91,108
G31718,Münchendorf,1873,1479,1452,27,483,358,306,112,117,2,1,49,10,14
G31719,Perchtoldsdorf,11489,8793,8639,154,1812,3012,1198,1410,512,55,73,386,113,68
G31723,Vösendorf,4388,3187,3133,54,1191,503,739,285,241,31,12,59,38,34
G31725,Wiener Neudorf,6999,5208,5131,77,1902,929,996,590,357,33,25,177,73,49
G31726,Wienerwald,1931,1559,1537,22,363,548,259,186,112,12,4,31,10,12
G31801,Altendorf,254,200,198,2,33,93,34,2,21,2,1,3,7,2
G31802,Aspang-Markt,1587,1226,1193,33,385,406,208,47,109,3,6,7,14,8
G31803,Aspangberg-St Peter,1610,1309,1267,42,293,555,241,38,100,8,9,5,10,8
G31804,Breitenau,1153,942,905,37,384,184,202,42,60,3,2,12,9,7
G31805,Breitenstein,288,211,202,9,74,59,37,7,14,1,0,4,6,0
G31806,Buchbach,281,218,216,2,100,58,24,12,11,1,0,6,3,1
G31807,Edlitz,764,628,602,26,150,268,99,26,31,5,4,7,10,2
G31808,Enzenreith,1575,1258,1223,35,453,276,295,69,85,13,7,12,8,5
G31809,Feistritz am Wechsel,903,745,727,18,130,320,168,34,46,4,6,7,3,9
G31810,Gloggnitz,4758,3594,3502,92,1408,712,772,212,265,18,14,39,33,29
G31811,Grafenbach-St Valentin,1817,1503,1466,37,590,282,357,77,88,17,10,11,15,19
G31812,Grimmenstein,1101,932,903,29,299,358,145,22,52,3,5,4,11,4
G31813,Grünbach am Schneeberg,1388,1030,1014,16,464,180,193,54,69,7,3,8,17,19
G31814,Kirchberg am Wechsel,1904,1572,1543,29,255,701,396,66,68,4,22,6,8,17
G31815,Mönichkirchen,525,395,389,6,87,176,71,16,24,0,2,3,4,6
G31817,Natschbach-Loipersbach,1314,1055,1025,30,279,328,230,58,82,5,9,11,14,9
G31818,Neunkirchen,8975,6532,6404,128,2601,1159,1434,519,417,38,35,96,52,53
G31820,Otterthal,463,370,359,11,95,124,97,10,24,2,1,0,5,1
G31821,Payerbach,1851,1426,1388,38,566,314,239,100,94,14,7,16,23,15
G31823,Pitten,1907,1500,1477,23,503,372,324,117,102,5,4,26,17,7
G31825,Prigglitz,409,310,298,12,85,116,41,22,21,0,0,5,4,4
G31826,Puchberg am Schneeberg,2251,1755,1733,22,673,487,303,79,102,14,7,15,22,31
G31827,Raach am Hochgebirge,253,216,209,7,45,122,28,3,1,4,1,1,4,0
G31829,Reichenau an der Rax,2243,1755,1714,41,572,481,331,109,131,14,14,28,24,10
G31830,St Corona am Wechsel,298,239,236,3,11,154,44,5,13,1,5,0,1,2
G31831,St Egyden am Steinfeld,1460,1155,1134,21,365,312,247,49,81,6,17,15,17,25
G31832,Scheiblingkirchen-Thernberg,1547,1232,1209,23,280,530,211,72,64,7,7,19,10,9
G31833,Schottwien,571,418,413,5,115,123,110,20,30,3,0,4,7,1
G31834,Schrattenbach,290,218,210,8,59,85,40,6,14,2,2,0,1,1
G31835,Schwarzau am Steinfeld,1443,1115,1089,26,430,242,237,57,60,4,31,15,7,6
G31836,Schwarzau im Gebirge,566,432,421,11,190,108,63,13,20,1,8,7,5,6
G31837,Seebenstein,1090,877,838,39,321,177,207,50,47,6,9,7,7,7
G31838,Semmering,482,311,302,9,103,94,57,15,26,2,3,0,2,0
G31839,Ternitz,11802,9244,9040,204,4460,1183,1948,539,564,61,53,87,74,71
G31840,Thomasberg,1027,841,816,25,196,350,143,28,72,2,7,5,5,8
G31841,Trattenbach,471,395,378,17,61,181,92,14,23,0,3,1,2,1
G31842,Bürg-Vöstenhof,136,113,110,3,32,45,17,4,8,0,0,0,3,1
G31843,Warth,1299,1107,1072,35,276,467,166,51,78,2,11,4,10,7
G31844,Wartmannstetten,1328,1125,1096,29,265,450,198,53,96,2,7,8,11,6
G31845,Willendorf,721,546,528,18,169,133,109,51,45,4,2,8,5,2
G31846,Wimpassing im Schwarzatale,1329,1022,1003,19,504,114,224,69,57,5,4,7,12,7
G31847,Würflach,1288,1027,997,30,351,308,182,58,52,5,5,12,11,13
G31848,Zöbern,1202,992,958,34,149,487,146,36,96,4,16,11,10,3
G31849,Höflein an der Hohen Wand,695,547,533,14,207,108,125,37,29,3,1,10,4,9
G31901,Altlengbach,2187,1639,1611,28,468,436,355,127,138,9,9,31,26,12
G31902,Asperhofen,1572,1197,1169,28,199,493,252,60,97,13,5,17,20,13
G31903,Böheimkirchen,3870,3047,2967,80,846,942,540,263,202,14,22,57,43,38
G31904,Brand-Laaben,951,731,716,15,144,264,145,63,56,2,5,20,9,8
G31905,Eichgraben,3184,2404,2360,44,656,568,395,365,174,17,20,103,34,28
G31906,Frankenfels,1702,1453,1395,58,361,602,250,75,71,7,8,4,15,2
G31907,Gerersdorf,719,576,556,20,143,280,68,18,27,1,2,9,6,2
G31909,Hofstetten-Grünau,2096,1765,1716,49,354,775,315,81,129,14,10,10,18,10
G31910,Hafnerbach,1313,1036,1013,23,262,399,178,83,44,6,7,18,11,5
G31911,Haunoldstein,765,605,592,13,183,203,129,35,27,2,0,1,9,3
G31912,Herzogenburg,6135,4742,4602,140,1993,1002,832,316,265,23,17,53,45,56
G31913,Inzersdorf-Getzersdorf,1155,955,934,21,284,290,204,43,73,7,4,9,8,12
G31915,Kapelln,1049,867,848,19,153,374,194,38,53,4,2,11,13,6
G31916,Karlstetten,1653,1357,1307,50,364,456,242,105,89,10,6,14,12,9
G31917,Kasten bei Böheimkirchen,1015,804,777,27,171,273,154,89,52,1,4,14,7,12
G31918,Kirchberg an der Pielach,2571,2053,1996,57,496,765,332,176,147,12,9,17,23,19
G31919,Kirchstetten,1586,1221,1181,40,329,375,240,98,77,15,2,17,15,13
G31920,Loich,493,400,392,8,99,175,56,10,40,2,2,2,4,2
G31921,Maria-Anzbach,2165,1657,1626,31,383,494,269,240,116,17,15,42,31,19
G31922,Markersdorf-Haindorf,1542,1147,1122,25,329,362,230,81,68,7,3,11,21,10
G31923,Michelbach,699,557,542,15,66,283,91,32,50,3,3,6,6,2
G31925,Neidling,1189,950,916,34,235,320,151,92,72,2,3,23,14,4
G31926,Neulengbach,5852,4346,4235,111,1081,1283,745,456,364,38,41,120,52,55
G31927,Neustift-Innermanzing,1135,812,788,24,198,233,160,62,79,5,4,27,9,11
G31928,Nußdorf ob der Traisen,1320,1093,1061,32,328,374,204,67,58,2,3,10,13,2
G31929,Ober-Grafendorf,3672,2952,2888,64,1086,759,535,192,196,14,13,43,28,22
G31930,Obritzberg-Rust,1745,1409,1368,41,283,603,217,82,99,9,18,22,22,13
G31932,Prinzersdorf,1201,954,924,30,312,283,143,93,50,5,8,14,11,5
G31934,Pyhra,2729,2203,2155,48,457,907,348,175,166,16,9,34,27,16
G31935,Rabenstein an der Pielach,1997,1555,1509,46,445,556,257,93,100,9,9,7,25,8
G31938,St Margarethen an der Sierning,855,733,710,23,140,365,101,42,41,4,0,6,5,6
G31939,Schwarzenbach an der Pielach,346,292,282,10,75,125,56,3,19,1,0,0,3,0
G31940,Statzendorf,1103,914,882,32,356,235,157,44,64,5,4,5,6,6
G31941,Stössing,599,434,425,9,49,220,71,32,28,3,6,5,9,2
G31943,Traismauer,4524,3584,3503,81,1287,821,790,225,235,23,9,50,39,24
G31945,Weinburg,1059,904,888,16,375,236,156,44,59,4,2,3,5,4
G31946,Weißenkirchen an der Perschling,1037,827,808,19,115,363,188,38,54,4,15,8,11,12
G31947,Wilhelmsburg,5142,3916,3814,102,1532,834,788,265,241,31,5,50,33,35
G31948,Wölbling,1952,1525,1496,29,522,445,260,106,94,8,11,16,16,18
G32001,Gaming,2739,2156,2094,62,941,511,283,104,157,12,27,14,26,19
G32002,Göstling an der Ybbs,1721,1377,1349,28,427,568,171,58,77,7,8,11,15,7
G32003,Gresten,1618,1217,1173,44,365,377,158,101,109,10,4,21,17,11
G32004,Gresten-Land,1230,969,937,32,126,566,101,36,69,3,10,5,13,8
G32005,Lunz am See,1573,1233,1204,29,424,406,160,69,94,8,7,15,7,14
G32006,Oberndorf an der Melk,2385,1941,1885,56,221,1037,342,76,132,8,14,9,31,15
G32007,Puchenstuben,256,199,198,1,83,73,21,7,6,1,1,3,2,1
G32008,Purgstall an der Erlauf,4274,3325,3246,79,681,1343,623,202,258,9,27,23,55,25
G32009,Randegg,1527,1232,1177,55,186,657,159,51,71,3,6,10,21,13
G32010,Reinsberg,826,712,687,25,79,421,74,24,58,6,7,5,9,4
G32011,St Anton an der Jeßnitz,988,828,811,17,163,381,131,27,73,3,7,8,13,5
G32012,St Georgen an der Leys,1082,877,848,29,91,479,137,29,89,2,8,2,8,3
G32013,Scheibbs,3498,2780,2686,94,727,992,302,319,196,15,30,53,35,17
G32014,Steinakirchen am Forst,1902,1559,1509,50,216,788,225,91,113,10,7,16,29,14
G32015,Wang,1055,883,855,28,129,436,149,43,68,2,2,4,7,15
G32016,Wieselburg,2917,2257,2196,61,884,525,395,149,144,11,10,29,25,24
G32017,Wieselburg-Land,2588,2123,2077,46,531,733,446,129,163,12,10,20,23,10
G32018,Wolfpassing,1085,931,900,31,114,457,158,48,73,6,3,12,22,7
G32101,Absdorf,1383,1157,1120,37,405,338,194,75,53,6,0,26,13,10
G32104,Atzenbrugg,2077,1670,1599,71,351,675,291,84,127,11,14,16,16,14
G32106,Fels am Wagram,1633,1309,1281,28,384,458,235,68,74,5,5,19,18,15
G32107,Grafenwörth,2418,1900,1859,41,591,730,293,80,92,8,3,28,22,12
G32109,Großriedenthal,792,648,625,23,155,312,82,15,41,3,5,3,3,6
G32110,Großweikersdorf,2451,1959,1909,50,531,649,413,121,109,11,4,34,20,17
G32112,Judenau-Baumgarten,1582,1249,1219,30,277,477,245,88,85,3,12,16,9,7
G32114,Kirchberg am Wagram,2701,2228,2176,52,594,871,367,138,121,14,9,28,23,11
G32115,Königsbrunn am Wagram,1038,888,864,24,274,334,129,47,55,4,1,10,7,3
G32116,Königstetten,1540,1202,1178,24,336,388,241,83,59,8,4,30,16,13
G32119,Langenrohr,1726,1335,1303,32,223,573,250,78,111,11,9,23,17,8
G32120,Michelhausen,2039,1556,1502,54,293,747,250,72,83,9,5,15,18,10
G32131,Sieghartskirchen,5325,4176,4085,91,1152,1432,786,262,262,24,26,77,33,31
G32132,Sitzenberg-Reidling,1589,1293,1247,46,330,475,224,73,82,8,9,11,17,18
G32134,Tulbing,2257,1770,1728,42,472,583,316,175,95,8,11,38,17,13
G32135,Tulln an der Donau,10838,8398,8203,195,2167,2839,1417,880,478,53,38,189,84,58
G32139,Würmla,1003,791,772,19,123,373,154,49,43,3,0,7,11,9
G32140,Zeiselmauer-Wolfpassing,1745,1352,1326,26,390,325,252,167,94,11,5,44,16,22
G32141,Zwentendorf an der Donau,2938,2364,2290,74,860,626,458,85,161,28,5,26,23,18
G32142,St Andrä-Wördern,5657,4407,4326,81,1244,1042,846,668,277,31,18,111,54,35
G32143,Muckendorf-Wipfing,1017,812,796,16,238,206,188,63,54,2,7,15,8,15
G32202,Dietmanns,982,756,731,25,370,90,199,21,33,6,2,1,4,5
G32203,Dobersberg,1422,1111,1076,35,164,640,164,40,39,3,0,12,10,4
G32206,Gastern,1073,857,821,36,222,374,126,31,50,8,0,1,7,2
G32207,Groß-Siegharts,2465,1769,1712,57,647,479,323,96,108,8,2,16,18,15
G32209,Karlstein an der Thaya,1274,995,958,37,222,464,147,46,58,9,1,1,8,2
G32210,Kautzen,1031,862,822,40,168,424,140,34,32,4,6,6,7,1
G32212,Ludweis-Aigen,850,660,643,17,132,350,80,30,34,5,0,7,4,1
G32214,Pfaffenschlag bei Waidhofen adThaya,815,647,626,21,100,290,160,22,27,3,15,1,3,5
G32216,Raabs an der Thaya,2456,1919,1847,72,358,1030,269,64,58,14,5,15,21,13
G32217,Thaya,1190,915,895,20,187,412,188,32,52,2,5,7,7,3
G32219,Vitis,2176,1707,1633,74,407,806,211,68,104,4,5,8,16,4
G32220,Waidhofen an der Thaya,4797,3544,3451,93,734,1505,565,294,189,24,24,34,55,27
G32221,Waidhofen an der Thaya-Land,965,770,738,32,91,401,121,47,45,5,1,8,8,11
G32222,Waldkirchen an der Thaya,521,422,412,10,91,221,68,12,9,2,0,5,1,3
G32223,Windigsteig,883,656,647,9,158,310,84,40,36,5,3,4,4,3
G32301,Bad Fischau-Brunn,2271,1806,1779,27,585,527,302,155,112,9,5,53,20,11
G32302,Bad Schönau,619,516,498,18,103,214,117,12,34,1,8,0,7,2
G32304,Ebenfurth,2075,1545,1518,27,768,194,335,73,99,10,6,10,14,9
G32305,Eggendorf,3387,2559,2518,41,1093,379,663,116,177,18,3,39,14,16
G32306,Bad Erlach,2163,1772,1736,36,487,734,289,71,99,9,8,18,13,8
G32307,Felixdorf,3228,2428,2393,35,1033,367,531,156,163,12,14,63,20,34
G32308,Gutenstein,1074,821,794,27,232,302,131,43,47,5,8,9,14,3
G32309,Hochneukirchen-Gschaidt,1403,1187,1159,28,172,610,235,36,66,3,6,11,12,8
G32310,Hochwolkersdorf,844,710,697,13,251,243,138,15,25,2,2,5,13,3
G32311,Hohe Wand,1093,867,848,19,220,306,153,54,60,11,2,14,16,12
G32312,Hollenthon,853,699,676,23,131,314,132,17,52,4,5,6,8,7
G32313,Katzelsdorf,2446,1967,1917,50,537,508,393,206,153,10,8,58,26,18
G32314,Kirchschlag in der Buckligen Welt,2376,1959,1855,104,298,895,350,71,162,12,18,22,12,15
G32315,Krumbach,1814,1470,1394,76,258,638,255,63,114,4,9,10,26,17
G32316,Lanzenkirchen,2899,2239,2197,42,763,552,540,111,140,12,9,23,23,24
G32317,Lichtenegg,877,710,673,37,41,401,101,27,59,1,17,5,14,7
G32318,Lichtenwörth,2231,1758,1725,33,676,381,388,88,118,9,6,28,17,14
G32319,Markt Piesting,2118,1659,1615,44,387,512,360,136,142,13,13,22,17,13
G32320,Matzendorf-Hölles,1492,1193,1161,32,318,374,267,68,84,6,2,15,15,12
G32321,Miesenbach,558,433,423,10,95,188,73,14,32,3,1,4,12,1
G32322,Muggendorf,375,326,316,10,75,123,61,19,22,1,0,3,7,5
G32323,Pernitz,2000,1537,1515,22,578,334,320,103,92,11,2,19,35,21
G32324,Rohr im Gebirge,393,311,296,15,68,124,57,17,25,0,0,2,0,3
G32325,Bromberg,996,855,820,35,137,420,161,35,33,3,8,8,5,10
G32326,Schwarzenbach,847,743,729,14,351,212,110,12,34,3,1,2,2,2
G32327,Sollenau,3579,2711,2662,49,1172,403,649,116,212,22,4,38,19,27
G32330,Theresienfeld,1975,1520,1501,19,611,230,378,96,123,11,5,20,16,11
G32331,Waidmannsfeld,1384,1138,1127,11,513,187,221,74,50,14,0,9,44,15
G32332,Waldegg,1483,1169,1143,26,444,247,239,90,74,10,5,14,14,6
G32333,Walpersbach,861,723,706,17,215,246,139,27,60,2,3,1,7,6
G32334,Weikersdorf am Steinfelde,859,733,711,22,125,277,200,26,56,1,2,8,6,10
G32335,Wiesmath,1280,1053,1022,31,266,425,199,39,60,7,11,1,9,5
G32336,Winzendorf-Muthmannsdorf,1413,1070,1042,28,338,269,216,82,85,6,4,21,16,5
G32337,Wöllersdorf-Steinabrückl,3168,2407,2366,41,947,423,577,121,196,16,10,33,21,22
G32338,Zillingdorf,1532,1270,1235,35,502,259,279,71,82,9,1,16,11,5
G32401,Ebergassing,2588,1991,1966,25,932,286,463,109,97,19,2,31,17,10
G32402,Fischamend,3562,2515,2478,37,1086,407,500,190,179,41,1,45,16,13
G32403,Gablitz,3509,2619,2576,43,660,721,445,381,192,12,11,99,33,22
G32404,Gerasdorf bei Wien,7656,5995,5912,83,2120,1070,1456,507,445,38,18,131,67,60
G32405,Gramatneusiedl,1924,1472,1436,36,610,268,314,91,101,10,2,24,10,6
G32406,Himberg,4938,3860,3793,67,1542,710,889,273,223,18,14,68,24,32
G32407,Klein-Neusiedl,663,511,506,5,297,71,77,17,26,5,0,11,1,1
G32408,Klosterneuburg,19649,14420,14165,255,3015,4913,1941,2426,820,104,60,628,136,122
G32409,Lanzendorf,1271,970,953,17,411,127,225,66,79,7,6,16,8,8
G32410,Leopoldsdorf,3379,2592,2541,51,862,486,655,253,157,12,3,69,30,14
G32411,Maria-Lanzendorf,1581,1179,1161,18,411,216,297,111,74,12,3,16,13,8
G32412,Mauerbach,2849,2199,2163,36,528,613,361,350,143,13,6,97,39,13
G32413,Moosbrunn,1287,1029,1015,14,350,276,215,61,79,3,3,18,7,3
G32415,Pressbaum,4990,3712,3645,67,931,945,712,555,251,23,17,124,51,36
G32416,Purkersdorf,6617,4856,4769,87,1401,1012,802,876,295,51,17,217,51,47
G32417,Rauchenwarth,487,400,392,8,86,201,54,22,17,0,0,6,4,2
G32418,Schwadorf,1404,1130,1109,21,508,204,224,70,59,2,0,24,6,12
G32419,Schwechat,12041,8844,8678,166,4105,999,1896,713,536,87,19,178,71,74
G32421,Tullnerbach,1999,1490,1460,30,370,426,238,226,84,15,10,63,11,17
G32423,Wolfsgraben,1231,973,957,16,191,275,184,146,97,7,3,37,4,13
G32424,Zwölfaxing,1219,941,913,28,317,189,240,66,67,9,3,6,12,4
G32501,Allentsteig,1741,1361,1314,47,344,527,272,63,75,1,2,10,12,8
G32502,Arbesbach,1380,1106,1072,34,115,631,171,48,71,1,15,3,11,6
G32503,Bärnkopf,314,264,258,6,147,60,28,6,10,2,2,1,1,1
G32504,Echsenbach,1016,848,820,28,139,471,107,36,38,1,8,2,11,7
G32505,Göpfritz an der Wild,1478,1208,1171,37,349,489,204,38,65,7,2,7,6,4
G32506,Grafenschlag,723,580,562,18,90,322,72,29,29,2,3,6,7,2
G32508,Groß Gerungs,3905,3110,2948,162,472,1509,427,201,195,14,35,32,33,30
G32509,Großgöttfritz,1158,999,967,32,151,516,182,26,61,9,2,4,13,3
G32511,Gutenbrunn,457,391,376,15,153,134,47,9,25,0,0,0,3,5
G32514,Kirchschlag,551,482,472,10,93,264,55,14,32,4,2,2,4,2
G32515,Kottes-Purk,1284,1084,1059,25,206,619,126,30,56,5,2,4,8,3
G32516,Langschlag,1477,1159,1105,54,212,609,144,30,67,7,4,9,13,10
G32517,Martinsberg,962,782,754,28,189,343,128,14,59,3,3,1,10,4
G32518,Ottenschlag,877,716,696,20,151,355,101,17,43,5,6,7,6,5
G32519,Altmelon,744,559,546,13,98,280,111,12,34,1,2,2,5,1
G32520,Pölla,851,645,623,22,127,310,111,20,31,5,1,8,8,2
G32521,Rappottenstein,1448,1132,1075,57,166,572,170,54,66,5,19,5,14,4
G32522,Sallingberg,1132,948,919,29,121,534,178,24,41,1,0,7,9,4
G32523,Schönbach,733,624,594,30,101,341,73,23,36,2,4,2,8,4
G32524,Schwarzenau,1240,1059,1019,40,323,420,164,35,41,4,2,10,12,8
G32525,Schweiggers,1670,1392,1336,56,118,868,178,33,103,4,6,6,15,5
G32528,Traunstein,870,700,687,13,117,428,67,23,31,3,7,3,6,2
G32529,Waldhausen,1064,851,830,21,184,445,109,28,40,2,3,3,9,7
G32530,Zwettl-Niederösterreich,9528,7603,7326,277,1328,3592,1123,547,440,23,47,65,108,53
G40101,Linz,142125,96209,94496,1713,37496,14890,17328,12599,7232,880,521,1946,788,754
G40201,Steyr,28962,20765,20335,430,8937,2771,3828,1989,1872,163,103,301,192,170
G40301,Wels,40994,28803,28288,515,10280,4628,6186,2984,2967,208,180,458,214,170
G40401,Altheim,3873,2892,2810,82,860,630,735,169,305,3,30,17,27,32
G40402,Aspach,1869,1390,1346,44,250,566,302,59,105,2,11,16,18,16
G40403,Auerbach,411,310,301,9,38,129,75,27,21,0,5,1,3,2
G40404,Braunau am Inn,12539,8091,7901,190,2723,1291,1836,859,836,53,44,81,76,101
G40405,Burgkirchen,2036,1477,1424,53,307,527,269,115,162,5,2,13,11,13
G40406,Eggelsberg,1670,1096,1035,61,218,336,191,82,150,8,6,10,15,19
G40407,Feldkirchen bei Mattighofen,1499,1106,1074,32,180,400,245,70,134,5,11,2,14,12
G40408,Franking,670,493,470,23,70,185,111,28,44,4,2,10,14,2
G40409,Geretsberg,820,551,525,26,98,209,107,41,51,2,3,2,9,3
G40410,Gilgenberg am Weilhart,978,670,648,22,92,275,125,25,107,5,1,4,8,6
G40411,Haigermoos,480,340,331,9,56,136,71,32,24,0,1,3,6,2
G40412,Handenberg,1033,743,718,25,123,318,125,32,84,6,15,0,7,8
G40413,Helpfau-Uttendorf,2406,1714,1642,72,426,489,400,84,183,8,5,14,13,17
G40414,Hochburg-Ach,2268,1514,1459,55,285,572,243,119,170,11,7,13,14,24
G40415,Höhnhart,1117,796,766,30,172,282,195,29,66,4,9,1,4,3
G40416,Jeging,483,390,379,11,106,116,79,12,45,5,3,2,6,5
G40417,Kirchberg bei Mattighofen,860,667,642,25,81,252,155,40,86,5,5,5,10,3
G40418,Lengau,3422,2553,2438,115,804,512,550,177,288,13,17,23,22,31
G40419,Lochen,1931,1446,1393,53,220,523,291,109,187,6,10,15,16,16
G40420,Maria Schmolln,1111,823,786,37,155,330,144,52,75,3,13,2,5,6
G40421,Mattighofen,3662,2512,2458,54,951,437,499,196,277,16,17,20,21,23
G40422,Mauerkirchen,1638,1100,1072,28,337,236,283,70,102,6,7,12,8,11
G40423,Mining,933,701,672,29,153,233,132,62,70,1,2,8,5,6
G40424,Moosbach,737,534,515,19,61,176,174,24,63,0,1,2,5,9
G40425,Moosdorf,1211,842,796,46,267,202,158,62,70,6,6,5,13,7
G40426,Munderfing,2072,1547,1490,57,435,458,265,95,165,4,9,15,17,26
G40427,Neukirchen an der Enknach,1680,1225,1198,27,247,382,294,78,134,5,15,7,14,22
G40428,Ostermiething,2341,1513,1453,60,313,486,269,112,203,3,9,9,30,19
G40429,Palting,725,541,526,15,92,224,86,42,64,0,3,3,4,8
G40430,Perwang am Grabensee,624,477,463,14,89,162,94,35,60,5,2,9,4,3
G40431,Pfaffstätt,752,547,531,16,139,152,100,28,85,2,4,6,8,7
G40432,Pischelsdorf am Engelbach,1264,935,905,30,133,374,226,37,101,3,6,8,10,7
G40433,Polling im Innkreis,716,556,539,17,136,206,123,18,32,3,2,3,10,5
G40434,Roßbach,772,595,570,25,152,211,141,14,37,2,2,1,4,6
G40435,Sankt Georgen am Fillmannsbach,312,251,242,9,23,70,99,7,34,1,5,1,0,2
G40436,Sankt Johann am Walde,1696,1275,1208,67,385,343,245,77,121,4,10,1,14,8
G40437,Sankt Pantaleon,2346,1652,1602,50,533,375,318,139,165,10,8,15,15,24
G40438,Sankt Peter am Hart,1845,1299,1240,59,336,341,264,114,132,5,6,15,10,17
G40439,Sankt Radegund,465,359,347,12,33,205,26,28,38,3,2,5,2,4
G40440,Sankt Veit im Innkreis,331,264,259,5,71,82,73,6,20,0,2,2,2,1
G40441,Schalchen,2815,2000,1933,67,597,435,388,165,256,13,14,23,23,19
G40442,Schwand im Innkreis,681,517,505,12,75,222,110,31,49,3,3,1,4,6
G40443,Tarsdorf,1578,1062,1010,52,144,396,210,85,128,3,9,10,14,11
G40444,Treubach,597,445,431,14,56,204,100,11,48,1,7,1,2,1
G40445,Überackern,445,297,293,4,76,92,69,12,34,3,1,4,0,2
G40446,Weng im Innkreis,1115,816,784,32,154,271,230,28,71,1,5,1,12,10
G40501,Alkoven,4224,3360,3276,84,1319,699,541,301,296,20,20,30,22,24
G40502,Aschach an der Donau,1692,1359,1337,22,451,267,318,149,111,5,5,9,8,14
G40503,Eferding,2751,2016,1959,57,648,479,404,188,167,11,8,28,14,12
G40504,Fraham,1704,1380,1350,30,468,317,286,105,122,6,7,17,10,12
G40505,Haibach ob der Donau,1068,852,824,28,234,300,119,71,65,4,2,6,9,13
G40506,Hartkirchen,3398,2798,2703,95,673,810,643,211,255,12,10,16,35,35
G40507,Hinzenbach,1529,1291,1266,25,418,384,249,72,103,1,13,11,9,6
G40508,Prambachkirchen,2262,1833,1780,53,412,662,363,128,159,6,6,14,11,19
G40509,Pupping,1582,1254,1225,29,353,351,249,93,122,10,12,8,14,13
G40510,Sankt Marienkirchen an der Polsenz,1820,1482,1445,37,357,403,351,127,118,7,26,19,15,21
G40511,Scharten,1652,1358,1336,22,418,332,290,121,120,3,18,10,10,14
G40512,Stroheim,1241,1012,963,49,153,436,167,58,106,4,3,13,16,6
G40601,Freistadt,5848,4664,4549,115,1405,1174,793,590,430,20,26,46,30,32
G40602,Grünbach,1480,1194,1143,51,240,397,260,78,119,4,13,11,8,13
G40603,Gutau,2146,1710,1667,43,470,564,261,154,155,5,15,11,15,17
G40604,Hagenberg im Mühlkreis,2097,1661,1622,39,529,346,321,215,128,20,15,16,13,18
G40605,Hirschbach im Mühlkreis,919,758,714,44,156,311,89,66,59,4,7,6,8,7
G40606,Kaltenberg,510,448,429,19,32,270,72,10,39,1,0,1,2,2
G40607,Kefermarkt,1696,1407,1359,48,417,411,237,108,121,9,11,23,10,11
G40608,Königswiesen,2518,2031,1963,68,456,780,375,131,151,11,25,11,16,7
G40609,Lasberg,2269,1826,1777,49,422,698,287,159,133,5,19,20,18,15
G40610,Leopoldschlag,856,684,648,36,112,329,103,44,39,1,0,5,10,5
G40611,Liebenau,1450,1148,1108,40,290,519,158,34,69,6,9,9,9,5
G40612,Neumarkt im Mühlkreis,2496,2051,1969,82,565,650,299,219,146,7,5,33,28,15
G40613,Pierbach,806,649,627,22,131,230,142,32,54,3,28,2,2,3
G40614,Pregarten,3944,3287,3202,85,1124,864,550,258,303,21,18,28,15,19
G40615,Rainbach im Mühlkreis,2301,1823,1737,86,451,721,232,145,129,3,25,9,14,7
G40616,Sandl,1163,964,914,50,351,255,139,54,67,12,12,5,9,10
G40617,Sankt Leonhard bei Freistadt,1178,982,955,27,267,367,158,48,86,5,5,7,6,6
G40618,Sankt Oswald bei Freistadt,2130,1732,1668,64,509,532,338,83,144,7,20,8,13,14
G40619,Schönau im Mühlkreis,1504,1288,1255,33,287,506,237,64,135,3,5,4,8,5
G40620,Tragwein,2439,2072,2012,60,701,685,285,149,118,13,18,20,11,12
G40621,Unterweißenbach,1925,1587,1523,64,336,640,278,80,137,6,16,8,14,7
G40622,Unterweitersdorf,1513,1280,1253,27,414,324,187,143,123,5,20,16,9,12
G40623,Waldburg,1073,896,861,35,225,327,138,85,50,4,5,10,11,6
G40624,Wartberg ob der Aist,3217,2618,2512,106,915,550,428,271,236,16,13,35,24,23
G40625,Weitersfelden,878,735,718,17,175,332,86,49,55,8,4,2,5,1
G40626,Windhaag bei Freistadt,1298,1059,999,60,248,432,160,63,72,3,7,2,7,5
G40627,Bad Zell,2168,1813,1742,71,341,622,333,204,181,12,11,15,6,16
G40701,Altmünster,7733,5922,5714,208,1744,1480,897,645,624,32,68,79,66,79
G40702,Bad Goisern,6024,4465,4318,147,1925,554,630,298,595,63,106,46,55,42
G40703,Bad Ischl,11043,7649,7435,214,2379,1599,1350,838,829,95,55,121,74,92
G40704,Ebensee,6592,4987,4825,162,2164,823,686,453,446,49,29,55,60,59
G40705,Gmunden,10267,7336,7149,187,1926,1987,1162,950,725,42,63,130,88,72
G40706,Gosau,1553,1154,1121,33,545,212,160,50,96,6,17,7,17,11
G40707,Grünau im Almtal,1665,1316,1271,45,427,352,240,110,81,7,13,10,17,13
G40708,Gschwandt,1980,1542,1472,70,409,400,274,136,164,3,35,13,21,16
